trim_bmt_bp_id,bmt_bp_id,bmt_vers,bmt_catg_cd,bmt_shrt_nm,bmt_bp_adnl_nm,bmt_cmpy_id,bmt_cntry_cd,bmt_place_desc,bmt_dflt_addr_srl,bmt_hldng_lmt,bmt_multpn_fctr,bmt_alrt_prcnt,bmt_crtn_authid,bmt_upd_authid,bmt_crtn_date,bmt_upd_date,bmt_crtn_tmstmp,bmt_upd_tmstmp,bmt_bp_prev_nm,bmt_cmpy_cin,bmt_cmpy_inc_date,bmt_sebi_reg_num,bmt_dp_id,bmt_pan,bmt_off_addr_1,bmt_off_addr_2,bmt_off_addr_3,bmt_off_city,bmt_off_state,bmt_off_country,bmt_off_pin_code,bmt_off_tel,bmt_off_fax_num,bmt_cor_addr_1,bmt_cor_addr_2,bmt_cor_addr_3,bmt_cor_city,bmt_cor_state,bmt_cor_country,bmt_cor_pin_code,bmt_cor_tel,bmt_cor_fax_num,bmt_cmp_offr_nm,bmt_cmp_offr_dsgn,bmt_cmp_offr_email,bmt_cmp_offr_tel,bmt_cmp_offr_fax,bmt_cmp_offr_mob,bmt_admn_nm,bmt_admn_dsgn,bmt_admn_email,bmt_admn_tel,bmt_admn_fax,bmt_admn_mob,bmt_cert_auth_nm,bmt_cert_num,bmt_cor_state_other,bmt_off_state_other,bmt_same_mkr_chkr_flag,bmt_bp_active,bmt_sebi_cert_exp_dt,bmt_billing_email_id,bmt_tan,bmt_gstn,bmt_sebi_cert_rgstrn_dt,rn,rfm_rta_id,rfm_fundcode,rfm_bp_id,rfm_fundname,rfm_funddesc,create tmstmp,Modify tmstmp,modify user,create user,rn-2
A0113,A0113   ,0,1,DHANESVARI COMMODITIES PVT. LTD.,DHANESVARI COMMODITIES PVT. LTD.,,1,,0,,,,SHEELAG ,SHEELAG ,2015-07-22,2015-07-22,2015-07-22 10:59:42,2015-07-22 10:59:42,,U51100GJ2006PTC48114,2006-04-10,MCX/TCM/CORP/1383,        ,AACCD3611R,"SAI CHAMBERS, 59 VISHWAS COLONY,","MAZZANINE FLOOR,","ABOVE BANK OF BARODA, JETALPUR ROAD",VADODARA,11,85,390015,0281-6641222,,"SAI CHAMBERS, 59 VISHWAS COLONY,","MAZZANINE FLOOR,","ABOVE BANK OF BARODA, JETALPUR ROAD",VADODARA,11,85,390015,0281-6641222,,MR. ANUP PATEL,DIRECTOR,dummy_mail@dummy.com,0265-6641222,,0,MR. ANUP PATEL,DIRECTOR,dummy_mail@dummy.com,0265-2325222,,0,,,,,,,,,,,,1,,,,,,,,,,
A0124,A0124   ,0,1,R K GLOBAL COMMODITY BROKING LTD.,R K GLOBAL COMMODITY BROKING LTD.,,1,,0,,,,SHEELAG ,SHEELAG ,2015-07-23,2015-07-23,2015-07-23 14:31:53,2015-07-23 14:31:53,,U74899DL1990PLC040937,1990-07-23,MCX/TCM/CORP/1606,        ,AAACR1323G,"FLAT NO - 5, II FLOOR,","SAGAR APARTMENTS,","6, TILAK MARG,",NEW DELHI,9,85,110001,011-43100999,,"FLAT NO - 5, II FLOOR,","SAGAR APARTMENTS,","6, TILAK MARG,",NEW DELHI,9,85,110001,011-43100999,,MR. SUSHIL KUMAR DHANCHOLIA,DIRECTOR,dummy_mail@dummy.com,9811024829,,0,MR. ANURAG SHARMA,MANAGER,dummy_mail@dummy.com,9717999782,,0,15,,,,,,,,,,,1,,,,,,,,,,
A0135,A0135   ,0,1,RKSV COMMODITIES INDIA PVT. LTD.,RKSV COMMODITIES INDIA PVT. LTD.,,1,,0,,,,SHEELAG ,SHEELAG ,2015-07-24,2015-07-24,2015-07-24 12:03:03,2015-07-24 12:03:03,,U65190DL2012PTC236371,2012-05-23,MCX/TM/CORP/2034,        ,AAGCR17531,"807, NEW DELHI HOUSE,","BARAKHAMBA ROAD,","CONNAUGHT PLACE,",NEW DELHI,9,85,110001,011-43596031,,"212, TRADE CENTRE,","BKC, ",BANDRA- EAST,MUMBAI,19,85,400051,022-61309999,,MR. RAVI KUMAR,DIRECTOR,dummy_mail@dummy.com,022-61309999,,0,MR. AMIT LALAN,DIRECTOR,dummy_mail@dummy.com,022-61309999,,0,,,,,,,,,,,,1,,,,,,,,,,
A0146,A0146   ,0,1,EASY COMMODITIES TRADE PVT. LTD.,EASY COMMODITIES TRADE PVT. LTD.,,1,,0,,,,SHEELAG ,SHEELAG ,2015-08-06,2015-08-06,2015-08-06 12:25:24,2015-08-06 12:25:24,,66130,1994-11-28,MCX/TCM/CORP/1265,        ,AABCB0685L,"16B SHAKESPEARE SARANI,",,,KOLKATA,32,85,700071,033-22823386,033-22827867,"16 B SHAKESPEARE SARANI,",,,KOLKATA,32,85,700071,033-22823386,033-22827867,MR. ASHUTOSH DWIVEDI,EMPLOYEE,dummy_mail@dummy.com,033-22823386,,0,MR. ASHUTOSH DWIVEDI,COMPLIANCE OFFIC,dummy_mail@dummy.com,033-22823386,,0,,,,,,,,,,,,1,,,,,,,,,,
A0157,A0157   ,0,1,PAWANKUMAR PARMESHWARLAL,PAWANKUMAR PARMESHWARLAL,,1,,0,,,,SHEELAG ,SHEELAG ,2015-08-10,2015-08-10,2015-08-10 16:39:51,2015-08-10 16:39:51,,,1992-11-26,INB010018813,        ,AAAPC5238N,"4TH FLOOR, SINGHANIA WADI,","187 DADISETH AGYARI LANE,","CHIRA BAZAR,",MUMBAI,19,85,400002,022-22014936,022-22057932,"4TH FLOOR, SINGHANIA WADI,","187 DADISETH AGYARI LANE,","CHIRA BAZAR,",MUMBAI,19,85,400002,022-22014936,022-22057932,MR. RAJKUMAR PANDEY,COMPLIANCE OFFIC,dummy_mail@dummy.com,022-22014936,022-22057932,0,MR. PAWANKUMAR CHAUDHARY,PROPRIETOR,dummy_mail@dummy.com,022-22014936,022-22057932,0,,,,,,,,,,,,1,,,,,,,,,,
A0168,A0168   ,0,1,PACE RESEARCH,PACE RESEARCH,,1,,0,,,,SHEELAG ,SHEELAG ,2015-08-13,2015-08-13,2015-08-13 16:48:39,2015-08-13 16:48:39,,,2013-02-15,INA000001555,        ,BZUPS4551E,"320, PU4, HOTEL COUNTRY INN ROAD,","NEAR C-21 MALL,","SCHEME NO. 54, VIJAY NAGAR",INDORE,18,85,452010,,,"320, PU4, HOTEL COUNTRY INN ROAD,","NEAR C-21 MALL,","SCHEME NO. 54, VIJAY NAGAR",INDORE,18,85,452010,,,MS. VARSHA SAHU,COMPLIANCE OFFIC,dummy_mail@dummy.com,8109080259,,0,MS. VARSHA SAHU,COMPLIANCE OFFIC,dummy_mail@dummy.com,8109080259,,0,15,,,,,,,,,,,1,,,,,,,,,,
A0179,A0179   ,0,1,SHIKAGO TRADE PVT. LTD.,SHIKAGO TRADE PVT. LTD.,,1,,0,,,,SHEELAG ,SHEELAG ,2015-08-13,2015-08-13,2015-08-13 16:59:55,2015-08-13 16:59:55,,,2004-03-29,MCX/TCM/CORP/0069,        ,AABCS1065R,"5, NATWAR CHAMBERS,","1ST FLOOR, 94, N.M. ROAD,","FORT,",MUMBAI,19,85,400023,022-40324361,022-22623957,"TAMRIND HOUSE,","3RD FLOOR, B WING,","TAMRIND LANE, FORT",MUMBAI,19,85,400001,022-40324300,022-22623957,MR. NITIN. H. SHAH,COMPLIANCE OFFIC,dummy_mail@dummy.com,022-40324300,,0,MR. SAMEER PATIL,KYC- DEPT,dummy_mail@dummy.com,022-40324375,022-30284340,0,,,,,,,,,,,,1,,,,,,,,,,
A0180,A0180   ,0,1,ASTHVINAYAK STOCK BROKING PVT. LTD.,ASTHVINAYAK STOCK BROKING PVT. LTD.,,1,,0,,,,SHEELAG ,SHEELAG ,2015-08-20,2015-08-20,2015-08-20 15:28:25,2015-08-20 15:28:25,,U67120WB2010PTC138963,2009-10-20,INB011403236,        ,AAICA2560J,"3A, MANGOE LANE,","1ST FLOOR, SOUTH BLOCK",,KOLKATA,32,85,700001,033-32568186,,"315, A- BLOCK,","BANGUR AVENUE,",,KOLKATA,32,85,700055,033-32568186,,MR. SUNNY SHARMA,COMPLIANCE OFFIC,dummy_mail@dummy.com,033-32568186,,0,MR. SANJIV SHEKHAR,BRANCH MANAGER,dummy_mail@dummy.com,033-32568186,,0,,,,,,,,,,,,1,,,,,,,,,,
A0191,A0191   ,0,1,GSB SECURITIES PVT. LTD.,GSB SECURITIES PVT. LTD.,,1,,0,,,,SHEELAG ,SHEELAG ,2015-08-20,2015-08-20,2015-08-20 15:37:18,2015-08-20 15:37:18,,U201010MH2001PTC131037,1996-03-14,INB230902537,        ,AAACG9905H,"78/80, ALI CHAMBER,","TAMARIND LANE,","FORT,",MUMBAI,19,85,400001,022-22657084,,"78/80, ALI CHAMBER,","TAMARIND LANE,","FORT,",MUMBAI,19,85,400001,022-22657084,,MR. ILIYAS KHAN,COMPLIANCE OFFIC,dummy_mail@dummy.com,022-22657084,,0,MR. GIRDHARI S. BIYANI,DIRECTOR,dummy_mail@dummy.com,022-22657084,,0,,,,,,,,,,,,1,,,,,,,,,,
A0204,A0204   ,0,1,AXIS BANK LTD.,AXIS BANK LTD.,,1,,0,,,,SHEELAG ,SHEELAG ,2015-08-21,2015-08-21,2015-08-21 11:27:17,2015-08-21 11:27:17,,,1993-12-03,INP000000654,        ,AAACU2414K,"TRISHUL - 3RD FLOOR,","OPP. SAMARTHESWAR TEMPLE,","NEAR LAW GARDEN, ELLISBRIDGE,",AHMEDABAD,11,85,380006,,,"AXIS HOUSE, 4TH FLOOR,RBP - IIPS OPS"," DEPT. WADIA INTERNATIONAL CENTER,"," P.B. MARG, WORLI,",MUMBAI,19,85,400025,022-24255429,022-432252400,MR. JAYAN NAIR,SR. MANAGER,dummy_mail@dummy.com,022-24255428,022-43252400,0,MR. JAYAN NAIR,SR. MANAGER,dummy_mail@dummy.com,022-24255429,022-43252400,0,,,,,,,,,,,,1,,,,,,,,,,
A0215,A0215   ,0,1,VIVEK FINANCIAL COMMODITY BROKING PVT. LTD.,VIVEK FINANCIAL COMMODITY BROKING PVT. LTD.,,1,,0,,,,SHEELAG ,SHEELAG ,2015-08-21,2015-08-21,2015-08-21 18:27:05,2015-08-21 18:27:05,,85059,1997-02-11,MCX/TM/CORP/1918,        ,AAACV6562H,"109, VISHWA SADAN","9, DISTRICT CENTRE,","JANAK PURI,",NEW DELHI,9,85,110058,011-25537331,011-25537335,"109, VISHWA SADAN","9, DISTRICT CENTRE,","JANAK PURI,",NEW DELHI,9,85,110058,011-25537331,011-25537335,MR. ARVIND JASWAL,MANAGER,dummy_mail@dummy.com,011-25537331,011-25537335,0,MR. TRILOK SINGH,MANAGER,dummy_mail@dummy.com,011-41587999,011-25537335,0,,,,,,,,,,,,1,,,,,,,,,,
A0226,A0226   ,0,1,RIPPLES ADVISORY PVT.LTD.,RIPPLES ADVISORY PVT.LTD.,,1,,0,,,,SHEELAG ,SHEELAG ,2015-08-31,2015-08-31,2015-08-31 11:16:11,2015-08-31 11:16:11,,5282,1989-05-30,INA000003049,        ,AACCR5455P,"267- B,","SANGAM NAGAR,",,INDORE,18,85,452001,,,"601 - 602,","SHAGUN ARCADE,","A.B. ROAD, VIJAY NAGAR",INDORE,18,85,452010,,,MR. SUCHITA TOMAR,COMPLIANCE OFFIC,dummy_mail@dummy.com,8989067068,,0,MR. SUCHITA TOMAR,COMPLIANCE OFFIC,dummy_mail@dummy.com,8989067068,,0,15,,,,,,,,,,,1,,,,,,,,,,
A0237,A0237   ,0,1,FETCH COMMODITIES,FETCH COMMODITIES,,1,,0,,,,SHEELAG ,SHEELAG ,2015-09-01,2015-09-01,2015-09-01 11:59:50,2015-09-01 11:59:50,,,2006-04-28,MCX/TCM/PART/1195,        ,AAFFC0319P,"128, 1ST FLOOR,","VAYUPURI 2ND CLASS,","SAINIKPURI,",SECUNDERABAD,36,85,500094,,,"128, 1ST FLOOR,","VAYUPURI 2ND CLASS,","SAINIKPURI,",SECUNDERABAD,36,85,500094,,,MR. G CH SEKHAR RAO,MANAGING PARTNER,dummy_mail@dummy.com,9010025853,,0,MR. G CH SEKHAR RAO,MANAGING PARTNER,dummy_mail@dummy.com,9010025853,,0,,,,,,,,,,,,1,,,,,,,,,,
A0248,A0248   ,0,1,STATE BANK OF INDIA,STATE BANK OF INDIA,,1,,0,,,,SHEELAG ,SHEELAG ,2015-09-01,2015-09-01,2015-09-01 14:21:35,2015-09-01 14:21:35,,,1995-07-01,IN-DP-NSDL-08-96,        ,AAACS8577K,"CORPORATE CENTRE,","MADAME CAMA ROAD,","NARIMAN POINT,",MUMBAI,19,85,400021,,,"SAMRIDDHI BHAWAT,","1 STRAND ROAD,",,KOLKATA,32,85,700001,033-22100840,,MR. AMITAVA GANGULY,MANAGER,dummy_mail@dummy.com,033-22100840,,0,MR. AMITAVA GANGULY,MANAGER,dummy_mail@dummy.com,033-22100840,,0,,,,,,,,,,,,1,,,,,,,,,,
A0259,A0259   ,0,1,ABANS BROKING SERVICES PVT. LTD.,ABANS BROKING SERVICES PVT. LTD.,,1,,0,,,,SHEELAG ,SHEELAG ,2015-09-03,2015-09-03,2015-09-03 11:35:26,2015-09-03 11:35:26,,190201,2009-02-09,MCX/TCM/CORP/0978,        ,AAHCA5788K,"36,37,38 - A,","FLOOR -3, NARIMAN BHAVAN,","BACKBAY RECLAMATION, NARIMAN POINT",MUMBAI,19,85,400021,022-61790000,022-61790010,"36,37,38 - A,","FLOOR -3, NARIMAN BHAVAN,","BACKBAY RECLAMATION, NARIMAN POINT",MUMBAI,19,85,400021,022-61790000,022-61790010,MR. SATYAM JOSHI,COMPLIANCE OFFIC,dummy_mail@dummy.com,022-61790000,022-61790010,0,MR. SATYAM JOSHI,COMPLIANCE OFFIC,dummy_mail@dummy.com,022-61790000,022-61790010,0,,,,,,,,,,,,1,,,,,,,,,,
A0260,A0260   ,0,1,FORTUNE COMMODITIES,FORTUNE COMMODITIES,,1,,0,,,,SHEELAG ,SHEELAG ,2015-09-07,2015-09-07,2015-09-07 11:27:36,2015-09-07 11:27:36,,1557/2005-06,2005-10-07,MCX/TCM/PART/0260,        ,AABFF6651M,"#39, MIDDLE SCHOOL ROAD,","V.V.PUVAM,",,BANGALORE,15,85,560004,080-41154225,,"#39, MIDDLE SCHOOL ROAD,","V.V.PUVAM,",,BANGALORE,15,85,560004,080-41154225,,MR. TEJUS PN,COMPLIANCE OFFIC,dummy_mail@dummy.com,080-41203545,,0,MR. SATHISH AB,CHIEF ACCOUNTANT,dummy_mail@dummy.com,080-41154225,,0,,,,,,,,,,,,1,,,,,,,,,,
A0271,A0271   ,0,1,ANKIT VYAS PROPRIETOR MONETARY SOLUTION,ANKIT VYAS PROPRIETOR MONETARY SOLUTION,,1,,0,,,,SHEELAG ,SHEELAG ,2015-09-07,2015-09-07,2015-09-07 11:35:29,2015-09-07 11:35:29,,,2015-03-03,INA000002785,        ,AESPU8788G,"152, ORBIT MALL,","A.B ROAD VIJAYNAGAR,",,INDORE,18,85,452001,8223888886,,"152, ORBIT MALL,","A.B ROAD VIJAYNAGAR,",,INDORE,18,85,452001,8223888886,,MR. ANKIT VYAS,PROPRITOR,dummy_mail@dummy.com,8223888886,,0,MR. ANKIT VYAS,PROPRITOR,dummy_mail@dummy.com,8223888886,,0,,,,,,,,,,,,1,,,,,,,,,,
A0282,A0282   ,0,1,M J FINANCIAL,M J FINANCIAL,,1,,0,,,,SHEELAG ,SHEELAG ,2015-09-09,2015-09-09,2015-09-09 15:14:42,2015-09-09 15:14:42,,,2006-05-19,MCX/TCM/PROP/1129,        ,ACAPA4233B,"604, RAJHANS BONISTER,","B/H RAMCHOWK,",GHAD-DOD ROAD,"SURAT,",11,85,395007,0261-3253500,,"604, RAJHANS BONISTER,","B/H RAMCHOWK,",GHAD-DOD ROAD,"SURAT,",11,85,395007,0261-3253500,,MR.KANWAL KISHORE ARORA,PROPRIETOR,dummy_mail@dummy.com,9374500002,,0,MR.KANWAL KISHORE ARORA,PROPRIETOR,dummy_mail@dummy.com,0261-3253500,,0,,,,,,,,,,,,1,,,,,,,,,,
A0293,A0293   ,0,1,SUYASH EXIM PVT. LTD.,SUYASH EXIM PVT. LTD.,,1,,0,,,,SHEELAG ,SHEELAG ,2015-09-09,2015-09-09,2015-09-09 15:23:24,2015-09-09 15:23:24,,U51109MP2000PTC014151,2000-04-03,NCDEX/TCM/CORP/0038,        ,AAGCS2705M,"DARSHAN MALL, 5TH FLOOR,","15/2 RACE COURSE ROAD,",ABOVE HSBC BANK,INDORE,18,85,452001,0755-4065504,0755-4043925,"DARSHAN MALL, 5TH FLOOR,","15/2 RACE COURSE ROAD,","ABOVE HSBC BANK,",INDORE,18,85,452001,0755-4065505,0755-4043925,MR. RITESH SURANA,MANAGER,dummy_mail@dummy.com,9993060002,0755-4043925,0,MR. RITESH SURANA,MANAGER,dummy_mail@dummy.com,0755-4065504,0755-4043925,0,,,,,,,,,,,,1,,,,,,,,,,
A0306,A0306   ,0,1,INTEGRA SECURITIES PRIVATE LIMITED,INTEGRA SECURITIES PRIVATE LIMITED,,1,,0,,,,SHEELAG ,SHEELAG ,2015-09-14,2015-09-14,2015-09-14 14:25:18,2015-09-14 14:25:18,,U74899DL1995PTC064771,1995-01-30,INB230874633,        ,AAACI1884R,"32 REGAL BUILDING,","SANSAD MARG,",,NEW DELHI,9,85,110001,011-23347042,011-23362586,"32 REGAL BUILDING,","SANSAD MARG,",,NEW DELHI,9,85,110001,011-23347042,011-23362586,MR. PANKAJ VOHRA,COMPLIANCE OFFIC,dummy_mail@dummy.com,011-23347042,,0,MR. PANKAJ VOHRA,DIRECTOR,dummy_mail@dummy.com,011-23347042,,0,15,,,,,,,,,,,1,,,,,,,,,,
